entry_time,exit_time,direction,entry,exit,stop_loss,take_profit,outcome,result,balance,signal_score,h4_uptrend,h4_downtrend,bullish_sweep,bearish_sweep,bullish_break_retest,bearish_break_retest,bullish_engulfing,bearish_engulfing,bullish_382_candle,bearish_382_candle
2026-04-18 02:00:00+00:00,2026-04-18 03:55:00+00:00,LONG,77251.9765625,77010.0,77010.0,77735.9296875,LOSS,-10.0,990.0,80,True,False,False,False,False,False,False,False,True,False
2026-04-18 06:40:00+00:00,2026-04-18 08:10:00+00:00,SHORT,77122.7890625,76861.9921875,77253.1875,76861.9921875,WIN,19.8,1009.8,120,False,True,False,False,False,True,False,True,False,False
2026-04-18 09:55:00+00:00,2026-04-18 10:05:00+00:00,SHORT,76589.140625,76317.421875,76725.0,76317.421875,WIN,20.195999999999998,1029.9959999999999,100,False,True,False,False,False,False,False,True,False,False
2026-04-18 12:40:00+00:00,2026-04-18 15:00:00+00:00,SHORT,76088.1484375,76317.6171875,76317.6171875,75629.2109375,LOSS,-10.299959999999999,1019.6960399999998,100,False,True,False,False,False,False,False,True,False,False
2026-04-18 16:35:00+00:00,2026-04-18 18:15:00+00:00,SHORT,76076.296875,75728.9375,76249.9765625,75728.9375,WIN,20.393920799999997,1040.0899607999997,120,False,True,False,False,False,True,False,True,False,False
2026-04-19 01:10:00+00:00,2026-04-19 03:05:00+00:00,SHORT,75694.703125,75429.53125,75827.2890625,75429.53125,WIN,20.801799215999996,1060.8917600159998,120,False,True,False,False,False,True,False,True,False,False
2026-04-19 05:55:00+00:00,2026-04-19 06:15:00+00:00,SHORT,75588.03125,75357.078125,75703.5078125,75357.078125,WIN,21.217835200319996,1082.1095952163198,100,False,True,False,False,False,False,False,True,False,False
2026-04-19 08:05:00+00:00,2026-04-19 08:15:00+00:00,SHORT,75233.296875,75329.96875,75329.96875,75039.953125,LOSS,-10.821095952163198,1071.2884992641566,100,False,True,False,False,False,False,False,True,False,False
2026-04-19 09:40:00+00:00,2026-04-19 11:05:00+00:00,SHORT,75095.2890625,75309.0,75309.0,74667.8671875,LOSS,-10.712884992641566,1060.575614271515,90,False,True,False,False,False,True,False,True,False,False
2026-04-19 17:35:00+00:00,2026-04-19 17:50:00+00:00,SHORT,75169.9921875,74693.9765625,75408.0,74693.9765625,WIN,21.2115122854303,1081.7871265569452,85,False,True,False,True,False,False,False,True,False,False
2026-04-19 19:25:00+00:00,2026-04-19 22:05:00+00:00,SHORT,74894.0078125,73866.0234375,75408.0,73866.0234375,WIN,21.635742531138902,1103.422869088084,100,False,True,False,False,False,False,False,True,False,False
2026-04-22 02:10:00+00:00,2026-04-22 02:10:00+00:00,LONG,76363.96875,76778.421875,76156.7421875,76778.421875,WIN,22.068457381761682,1125.4913264698457,100,True,False,False,False,False,False,True,False,True,False
2026-04-22 04:30:00+00:00,2026-04-22 05:15:00+00:00,LONG,77543.703125,77859.109375,77386.0,77859.109375,WIN,22.509826529396914,1148.0011529992425,100,True,False,False,False,False,False,True,False,False,False
2026-04-22 10:15:00+00:00,2026-04-22 11:00:00+00:00,LONG,78055.25,78237.515625,77964.1171875,78237.515625,WIN,22.960023059984852,1170.9611760592275,100,True,False,False,False,False,False,True,False,False,False
2026-04-22 11:50:00+00:00,2026-04-22 12:25:00+00:00,LONG,78318.9296875,78206.4765625,78206.4765625,78543.8359375,LOSS,-11.709611760592274,1159.2515642986352,90,True,False,False,False,True,False,True,False,False,False
2026-04-22 12:55:00+00:00,2026-04-22 13:30:00+00:00,LONG,78274.7890625,78540.5703125,78141.8984375,78540.5703125,WIN,23.185031285972705,1182.4365955846079,115,True,False,True,False,False,False,True,False,False,False
